month,country,confidence_index
2024-06-01,KOR,100.0609
2024-07-01,KOR,100.1861
2024-08-01,KOR,100.1561
2024-09-01,KOR,100.0739
2024-10-01,KOR,99.91832
2024-11-01,KOR,99.50973
2024-12-01,KOR,98.92606
2018-01-01,JPN,100.7303
2018-02-01,JPN,100.6929
2018-03-01,JPN,100.6613
2018-04-01,JPN,100.6351
2018-05-01,JPN,100.6261
2018-06-01,JPN,100.6041
2018-07-01,JPN,100.5868
2018-08-01,JPN,100.554
2018-09-01,JPN,100.492
2018-10-01,JPN,100.4001
2018-11-01,JPN,100.2986
2018-12-01,JPN,100.1873
2019-01-01,JPN,100.0405
2019-02-01,JPN,99.89124
2019-03-01,JPN,99.73785
2019-04-01,JPN,99.61311
2019-05-01,JPN,99.44379
2019-06-01,JPN,99.22883
2019-07-01,JPN,99.02171
2019-08-01,JPN,98.82491
2019-09-01,JPN,98.69022
2019-10-01,JPN,98.80874
2019-11-01,JPN,99.11132
2019-12-01,JPN,99.28366
2020-01-01,JPN,99.1047
2020-02-01,JPN,98.35436
2020-03-01,JPN,97.01928
2020-04-01,JPN,95.82941
2020-05-01,JPN,95.61678
2020-06-01,JPN,96.04829
2020-07-01,JPN,96.58611
2020-08-01,JPN,97.04436
2020-09-01,JPN,97.4519
2020-10-01,JPN,97.64752
2020-11-01,JPN,97.62018
2020-12-01,JPN,97.44694
2021-01-01,JPN,97.42715
2021-02-01,JPN,97.77494
2021-03-01,JPN,98.13157
2021-04-01,JPN,98.28592
2021-05-01,JPN,98.40549
2021-06-01,JPN,98.64159
2021-07-01,JPN,98.82291
2021-08-01,JPN,98.94048
2021-09-01,JPN,99.09988
2021-10-01,JPN,99.27013
2021-11-01,JPN,99.31129
2021-12-01,JPN,99.12463
2022-01-01,JPN,98.71836
2022-02-01,JPN,98.234
2022-03-01,JPN,97.7918
2022-04-01,JPN,97.57452
2022-05-01,JPN,97.49507
2022-06-01,JPN,97.36042
2022-07-01,JPN,97.24477
2022-08-01,JPN,97.25037
2022-09-01,JPN,97.16904
2022-10-01,JPN,97.06425
2022-11-01,JPN,97.00517
2022-12-01,JPN,97.0647
2023-01-01,JPN,97.1915
2023-02-01,JPN,97.41763
2023-03-01,JPN,97.81185
2023-04-01,JPN,98.20002
2023-05-01,JPN,98.49206
2023-06-01,JPN,98.64091
2023-07-01,JPN,98.67105
2023-08-01,JPN,98.58302
2023-09-01,JPN,98.48352
2023-10-01,JPN,98.48654
2023-11-01,JPN,98.59915
2023-12-01,JPN,98.7986
2024-01-01,JPN,99.02655
2024-02-01,JPN,99.20332
2024-03-01,JPN,99.24021
2024-04-01,JPN,99.07654
2024-05-01,JPN,98.85626
2024-06-01,JPN,98.74454
2024-07-01,JPN,98.72066
2024-08-01,JPN,98.71651
2024-09-01,JPN,98.69376
2024-10-01,JPN,98.62144
2024-11-01,JPN,98.55204
2024-12-01,JPN,98.45342
2018-01-01,GBR,100.6637
2018-02-01,GBR,100.7761
2018-03-01,GBR,100.8759
2018-04-01,GBR,100.923
2018-05-01,GBR,101.0443
2018-06-01,GBR,101.0851
2018-07-01,GBR,101.1649
2018-08-01,GBR,101.0851
2018-09-01,GBR,100.9016
2018-10-01,GBR,100.7034
2018-11-01,GBR,100.4443
2018-12-01,GBR,100.1417
2019-01-01,GBR,99.85838
2019-02-01,GBR,99.72996
2019-03-01,GBR,99.72002
2019-04-01,GBR,99.8744
2019-05-01,GBR,100.105
2019-06-01,GBR,100.1863
2019-07-01,GBR,100.2276
2019-08-01,GBR,100.0394
2019-09-01,GBR,99.99646
2019-10-01,GBR,100.0954
2019-11-01,GBR,100.3999
2019-12-01,GBR,100.7405
2020-01-01,GBR,100.8621
2020-02-01,GBR,100.511
2020-03-01,GBR,99.46308
2020-04-01,GBR,97.9511
2020-05-01,GBR,97.20968
2020-06-01,GBR,97.34585
2020-07-01,GBR,97.82916
2020-08-01,GBR,98.03371
2020-09-01,GBR,97.85987
2020-10-01,GBR,97.52976
2020-11-01,GBR,97.4346
2020-12-01,GBR,97.8369
2021-01-01,GBR,98.41307
2021-02-01,GBR,99.45858
2021-03-01,GBR,100.7341
2021-04-01,GBR,101.7384
2021-05-01,GBR,102.5053
2021-06-01,GBR,102.85
2021-07-01,GBR,102.7957
2021-08-01,GBR,102.2913
2021-09-01,GBR,101.454
2021-10-01,GBR,100.7604
2021-11-01,GBR,100.4385
2021-12-01,GBR,99.96966
2022-01-01,GBR,98.97447
2022-02-01,GBR,97.49387
2022-03-01,GBR,95.97945
2022-04-01,GBR,94.70213
2022-05-01,GBR,93.94798
2022-06-01,GBR,93.53738
2022-07-01,GBR,93.20253
2022-08-01,GBR,92.68404
2022-09-01,GBR,92.25417
2022-10-01,GBR,92.35626
2022-11-01,GBR,92.77887
2022-12-01,GBR,93.18152
2023-01-01,GBR,93.61395
2023-02-01,GBR,94.42738
2023-03-01,GBR,95.33984
2023-04-01,GBR,96.38072
2023-05-01,GBR,97.22959
2023-06-01,GBR,97.68215
2023-07-01,GBR,97.6805
2023-08-01,GBR,97.8651
2023-09-01,GBR,97.94404
2023-10-01,GBR,97.76408
2023-11-01,GBR,98.04807
2023-12-01,GBR,98.44
2024-01-01,GBR,98.72806
2024-02-01,GBR,98.76655
2024-03-01,GBR,98.87854
2024-04-01,GBR,99.18949
2024-05-01,GBR,99.64087
2024-06-01,GBR,100.0559
2024-07-01,GBR,100.2532
2024-08-01,GBR,100.0087
2024-09-01,GBR,99.36056
2024-10-01,GBR,99.0421
2024-11-01,GBR,99.0577
2024-12-01,GBR,99.06422
2018-01-01,AUS,100.3473
2018-02-01,AUS,100.3227
2018-03-01,AUS,100.2636
2018-04-01,AUS,100.2102
2018-05-01,AUS,100.2134
2018-06-01,AUS,100.2791
2018-07-01,AUS,100.3652
2018-08-01,AUS,100.316
2018-09-01,AUS,100.2098
2018-10-01,AUS,100.1912
2018-11-01,AUS,100.2522
2018-12-01,AUS,100.2504
2019-01-01,AUS,100.1736
2019-02-01,AUS,100.1415
2019-03-01,AUS,100.0488
2019-04-01,AUS,100.031
2019-05-01,AUS,100.0147
2019-06-01,AUS,99.95284
2019-07-01,AUS,99.8403
2019-08-01,AUS,99.77627
2019-09-01,AUS,99.64276
2019-10-01,AUS,99.49406
2019-11-01,AUS,99.47329
2019-12-01,AUS,99.41888
2020-01-01,AUS,99.3191
2020-02-01,AUS,99.14963
2020-03-01,AUS,98.75634
2020-04-01,AUS,98.35019
2020-05-01,AUS,98.46667
2020-06-01,AUS,98.63666
2020-07-01,AUS,98.57137
2020-08-01,AUS,98.64317
2020-09-01,AUS,99.30009
2020-10-01,AUS,100.1264
2020-11-01,AUS,100.7041
2020-12-01,AUS,100.9794
2021-01-01,AUS,101.011
2021-02-01,AUS,101.1277
2021-03-01,AUS,101.3556
2021-04-01,AUS,101.5173
2021-05-01,AUS,101.33
2021-06-01,AUS,101.0029
2021-07-01,AUS,100.7733
2021-08-01,AUS,100.5838
2021-09-01,AUS,100.5279
2021-10-01,AUS,100.4978
2021-11-01,AUS,100.4574
2021-12-01,AUS,100.3632
2022-01-01,AUS,100.2053
2022-02-01,AUS,99.99312
2022-03-01,AUS,99.69601
2022-04-01,AUS,99.34726
2022-05-01,AUS,98.90734
2022-06-01,AUS,98.50414
2022-07-01,AUS,98.22216
2022-08-01,AUS,98.0719
2022-09-01,AUS,98.05492
2022-10-01,AUS,97.9887
2022-11-01,AUS,97.84903
2022-12-01,AUS,97.83623
2023-01-01,AUS,97.86402
2023-02-01,AUS,97.78932
2023-03-01,AUS,97.81824
2023-04-01,AUS,97.92999
2023-05-01,AUS,97.84807
2023-06-01,AUS,97.79609
2023-07-01,AUS,97.82053
2023-08-01,AUS,97.84273
2023-09-01,AUS,97.85129
2023-10-01,AUS,97.87997
2023-11-01,AUS,97.89059
2023-12-01,AUS,97.96133
2024-01-01,AUS,98.05916
2024-02-01,AUS,98.18601
2024-03-01,AUS,98.17252
2024-04-01,AUS,98.09344
2024-05-01,AUS,98.06419
2024-06-01,AUS,98.10307
2024-07-01,AUS,98.16048
2024-08-01,AUS,98.297
2024-09-01,AUS,98.51747
2024-10-01,AUS,98.85136
2024-11-01,AUS,99.13239
2024-12-01,AUS,99.20684
2018-01-01,BRA,100.1864
2018-02-01,BRA,100.3184
2018-03-01,BRA,100.4252
2018-04-01,BRA,100.3249
2018-05-01,BRA,100.0727
2018-06-01,BRA,99.74801
2018-07-01,BRA,99.57498
2018-08-01,BRA,99.50435
2018-09-01,BRA,99.60115
2018-10-01,BRA,100.0163
2018-11-01,BRA,100.6258
2018-12-01,BRA,101.0446
2019-01-01,BRA,101.2546
2019-02-01,BRA,101.1525
2019-03-01,BRA,100.8186
2019-04-01,BRA,100.4373
2019-05-01,BRA,100.1528
2019-06-01,BRA,100.1364
2019-07-01,BRA,100.2442
2019-08-01,BRA,100.3639
2019-09-01,BRA,100.4217
2019-10-01,BRA,100.4945
2019-11-01,BRA,100.603
2019-12-01,BRA,100.6719
2020-01-01,BRA,100.4217
2020-02-01,BRA,99.61316
2020-03-01,BRA,98.18207
2020-04-01,BRA,96.70115
2020-05-01,BRA,96.42539
2020-06-01,BRA,97.14326
2020-07-01,BRA,98.11233
2020-08-01,BRA,98.79337
2020-09-01,BRA,99.16817
2020-10-01,BRA,99.2234
2020-11-01,BRA,99.03787
2020-12-01,BRA,98.67776
2021-01-01,BRA,98.29962
2021-02-01,BRA,97.96612
2021-03-01,BRA,97.61161
2021-04-01,BRA,97.7552
2021-05-01,BRA,98.2383
2021-06-01,BRA,98.7411
2021-07-01,BRA,98.94277
2021-08-01,BRA,98.74473
2021-09-01,BRA,98.33286
2021-10-01,BRA,98.11159
2021-11-01,BRA,98.02692
2021-12-01,BRA,98.06811
2022-01-01,BRA,98.13784
2022-02-01,BRA,98.25856
2022-03-01,BRA,98.30475
2022-04-01,BRA,98.39365
2022-05-01,BRA,98.44316
2022-06-01,BRA,98.62729
2022-07-01,BRA,98.91426
2022-08-01,BRA,99.31133
2022-09-01,BRA,99.70979
2022-10-01,BRA,99.88384
2022-11-01,BRA,99.88416
2022-12-01,BRA,99.94624
2023-01-01,BRA,99.94564
2023-02-01,BRA,99.94643
2023-03-01,BRA,100.0532
2023-04-01,BRA,100.2123
2023-05-01,BRA,100.4848
2023-06-01,BRA,100.8043
2023-07-01,BRA,101.0844
2023-08-01,BRA,101.2127
2023-09-01,BRA,101.1663
2023-10-01,BRA,100.9995
2023-11-01,BRA,100.8567
2023-12-01,BRA,100.7762
2024-01-01,BRA,100.6687
2024-02-01,BRA,100.628
2024-03-01,BRA,100.7255
2024-04-01,BRA,100.8195
2024-05-01,BRA,100.8049
2024-06-01,BRA,100.8648
2024-07-01,BRA,100.9742
2024-08-01,BRA,101.0545
2024-09-01,BRA,101.0947
2024-10-01,BRA,101.0717
2024-11-01,BRA,100.9427
2024-12-01,BRA,100.5531
2018-01-01,ZAF,100.9934
2018-02-01,ZAF,102.4986
2018-03-01,ZAF,103.6956
2018-04-01,ZAF,104.1431
2018-05-01,ZAF,104.0503
2018-06-01,ZAF,103.6244
2018-07-01,ZAF,102.9575
2018-08-01,ZAF,102.2475
2018-09-01,ZAF,101.6947
2018-10-01,ZAF,101.441
2018-11-01,ZAF,101.353
